# Graph Type: undirected
A	B
UBE2I	IKZF1
SLC1A1	EWSR1
PBXIP1	WASHC3
EWSR1	RASL11B
FXR2	GKAP1
PPFIA1	PPP2R5D
PRDX1	IRF3
ILF3	TRIP6
UBC	DAZAP2
RABL6	RBPMS
ING5	KXD1
CCDC91	TESC
CCDC33	KXD1
LZTS2	ZNF581
ZNF250	BEGAIN
DVL2	ARR3
COQ8A	RABAC1
DFFA	EWSR1
PHF1	RBPMS
RBPMS	RBPMS
RPIA	VTA1
LDOC1	ZBTB16
CLK3	RSRP1
USO1	GABPB1
PLSCR1	GNAI2
AGTRAP	AGTRAP
PSMA1	TSC22D4
CCDC85B	FAM214B
PLEKHF2	RTN4
EWSR1	WDR37
TRIM23	SF1
LIMS1	RBBP8
NUDT21	NIF3L1
CCNK	EFEMP2
BABAM1	BABAM2
RIPK2	UBE2I
PIN1	ZMIZ2
SH3GL1	SH3GL1
ARFIP2	DTNBP1
TMEM147	ABI3
EFEMP2	BAG6
SPG21	RABAC1
PRPF3	GTPBP3
CCDC85B	TASOR2
CCDC85B	CCDC33
EFS	SH2D3C
HNRNPC	CCDC85B
SF1	DDX17
TRIP13	ZNF655
RPS15A	EWSR1
DDX17	WBP11
CCDC85B	CWC25
CBS	FXR2
GPRIN2	YWHAE
WWP2	SF1
HGS	EXOC8
EWSR1	CPSF6
CALCOCO2	ZNF101
MCM7	RBM8A
RCBTB2	RCBTB2
TRIM23	POM121
CREB3	APPBP2
TMCO6	UBQLN1
NDEL1	MBIP
AP2M1	MED4
IFIT3	IFIT2
ELOF1	C5orf22
CTBP2	RAI2
EWSR1	YY1AP1
JUP	NTAQ1
DAZAP2	ZNF581
CALCOCO2	LSM4
ZNF580	TSC22D4
U2AF2	PUF60
DARS1	AIMP2
SAT1	TSC22D4
UBE2I	PDLIM7
CTPS2	SPG21
RILPL2	RILPL2
IKZF1	AP2M1
GPKOW	NINL
PLAAT3	UBQLN1
TRIM37	RHPN1
PLOD3	FAM153A
NME4	TRIP13
GMDS	GMDS
RAP1GDS1	MBIP
EIF4E2	EIF4ENIF1
DAZAP2	NDUFA5
GOLGA2	TUBGCP4
RAD23A	SQSTM1
SEM1	PCID2
LDOC1	NRIP1
TRIM23	GGA2
CCDC85B	LZTS2
BNIP3L	BNIP3L
RPIA	NTAQ1
DVL2	U2AF2
CCDC85B	IKZF5
EWSR1	RBPMS
ZMYND19	HACL1
LZTS2	NINL
DAZAP2	AATF
FXR2	RABAC1
GLUL	PLEKHF2
RPIA	RPIA
EIF3E	GPBP1L1
LRRC41	RBPMS
SHC1	CALCOCO2
LDOC1	GNL3L
ZFC3H1	NINL
CPSF6	ARMC7
FBF1	HIF1AN
MARK3	SFN
IFT20	KXD1
CCDC130	ZNF24
DVL2	TIFA
GABARAPL2	CALCOCO2
PLSCR1	ATG12
MPP1	AMOTL2
FBP1	PCNX4
RAB6A	PMM1
FANCG	ZBED1
KANSL1	NINL
HMGA1	EWSR1
SNAP23	ABI3
CALCOCO2	VPS72
SORBS3	KIAA1217
CCNK	RBPMS
HGS	NMI
IFT20	FBF1
CCDC85B	RBM7
PSMA1	CCNH
NUDT21	CPSF7
FZD7	UBQLN1
UBB	DAZAP2
STN1	TUBGCP4
RBPMS	ZNF581
MTMR9	MTMR9
BAG6	KLHL12
RAD23A	UBL7
TIFA	NIF3L1
SQSTM1	GABARAPL1
PLEKHF2	SPEF1
PAICS	FXR2
PSMA1	NMI
CCDC85B	SETD5
CCDC85B	FAM50B
KLHL2	KLHL12
CSTF2T	UBQLN1
MTF1	AP1M1
SH3GL1	SH2D4A
IFT27	HSPB11
WDR5	MBIP
CERT1	CERT1
GSE1	RBPMS
SIAH1	AFF4
AP2B1	TUBGCP4
RBPMS	CDC23
EWSR1	HERPUD1
RPIA	NIF3L1
BLMH	KBTBD7
DAZAP2	TOLLIP
CCDC85B	SYTL4
PRPSAP1	PRPSAP1
APPL2	RAB22A
BAG3	FAM189A2
CCDC85B	MOAP1
FAM160A2	RABAC1
PSME3	KANSL1
BLOC1S6	BLOC1S6
PLSCR1	OGDH
CREB3	EMD
PLEKHF2	GPBP1L1
RPL31	EWSR1
KRAS	HNRNPC
CALCOCO2	ZNF451
FBP1	FXR2
GCC1	AMOTL2
PLSCR1	MED15
TRIM37	ZNF655
DCTN5	NINL
EWSR1	VPS72
ACTL6A	EWSR1
MRI1	MRI1
NONO	PLEKHF2
ZC3H10	ZC3H10
EFEMP2	AQP1
SH3BP5L	NINL
PHC1	SFMBT1
MIF4GD	HGS
HNRNPC	HNRNPC
GABARAPL2	BCL2L13
ASB13	HIF1AN
TSPYL4	NINL
FBF1	GCC1
LPXN	IMP3
UBE2D1	RNF126
MAPK9	SF3B4
CALCOCO2	ZNF638
PLSCR1	IP6K2
RAD23A	EWSR1
LDOC1	AATF
LPXN	LIMS1
SFN	NTAQ1
CCDC85B	FASTKD5
TRIP13	RBPMS
FLAD1	FLAD1
HID1	RBBP8
TRAPPC3	TRAPPC2L
TRIM29	LZTS2
KLHL12	DVL3
FXR2	LCMT1
ILK	PARVA
GTPBP3	GTPBP3
CALCOCO2	FBXL18
CCDC85B	DEPP1
NDUFB1	NDUFA5
SNF8	VPS25
NT5C2	NME7
RPS14	TAF9
LDOC1	ZNF250
CCDC85B	AKIRIN2
CDC42EP3	CDC42EP3
RTN3	FAM160A2
LDOC1	IKZF5
HOOK2	APEX2
PLSCR1	FBXL18
PLOD3	EHMT2
SAT1	TACO1
FTH1	FXR2
APEH	UBA5
AP2B1	LDLRAP1
NCK2	ABI2
RTN3	RTN4
DAZAP2	ZFAND2B
EIF4A3	CCDC174
EWSR1	CFDP1
ZNF250	HOOK2
SGTA	EFEMP2
FASTK	RBPMS
ZFP36	CCDC85B
RAB3IL1	RAB3IP
CCDC85B	AGGF1
RPRD1B	TUBGCP4
EXOC8	BLOC1S6
CXADR	EWSR1
DYNC1I1	DYNLL2
LIMS1	EHMT2
POLR1C	NME1
CTBP2	AKTIP
EIF3H	ABI3
MTMR9	SPG21
LDOC1	TASOR2
TRIP13	PLSCR4
CHST1	SFN
KAT7	DVL3
SELENBP1	TRIP13
PLSCR1	NECAP2
JUNB	NINL
SEPTIN6	SEPTIN2
UBQLN1	UBQLN1
SSBP2	EWSR1
EWSR1	TPGS2
SPP1	CTNNBL1
PIH1D1	TSC22D4
NCK2	TRIP6
CBX5	PRR14
HGS	LDOC1
CCDC85B	PKN1
PLSCR1	DEPP1
TCHP	NME7
PLSCR1	RAMAC
CPSF6	KLHL12
HPRT1	NTAQ1
PSMA1	MCM6
RPL9	DHPS
HACL1	HACL1
ZFHX3	NINL
KXD1	MOB1A
ZMIZ2	SALL2
EHMT2	KLF6
PLSCR1	PLSCR4
PLSCR1	INTS11
PCM1	WASHC3
PBXIP1	TSNAX
PSME3	BBS2
PLSCR1	CRK
FXR2	CALCOCO2
ZBTB16	VTA1
NDUFV1	EWSR1
ACTB	ACTG1
DVL2	RNPS1
ABLIM1	LDOC1
SAT1	DNPEP
DVL2	CPSF7
RTN3	CERT1
PHC2	PHC2
NME1	GORASP2
RBFOX2	DAZAP2
ATG12	PTK2
GLRX3	EFEMP2
TRIM29	GCC1
VIM	APIP
CSNK1G2	CERT1
TRIM21	NIF3L1
DYNLL2	HOMER3
PLSCR1	PCED1A
CCDC85B	TCHP
ZNF250	CEP44
EIF4H	C11orf68
TRIP13	GLYCTK
PDCD6	MAPK1IP1L
APIP	VPS25
CD99	UBQLN1
KLHL42	SERTAD1
EPS8	AIMP2
NADSYN1	CUTC
NCK2	KIAA1217
CBFA2T2	NTAQ1
AP2B1	POM121
LDOC1	KRT18
FCHSD2	CCDC85B
KRT18	EXOC8
CALCOCO2	POLI
CCDC85B	DOK5
HSBP1	WASHC3
DNPH1	DNPH1
EWSR1	DYNLL2
RORA	PSMC5
EAPP	AAR2
DVL2	SNF8
CCND3	DTNBP1
SAT1	SAT2
KCTD13	ZMYND19
EFEMP2	APEX2
TRIM37	PNKP
PCM1	ABI2
CCND2	CDKN1A
DDX39A	SARNP
VTA1	MBIP
CCDC85B	MBIP
KLHL12	VTA1
PLSCR1	GPRIN2
SCAND1	ZSCAN32
CBS	HID1
CALCOCO2	PTBP2
AKR7A2	AKR7A3
NKAP	CEP70
SRSF4	SRSF6
IFT20	TREX1
VIM	TUBGCP4
SF1	RBPMS
POLR2L	CCDC85B
MRFAP1L1	MORF4L1
PCM1	EXOC8
EFEMP2	CCND3
AKR7A3	AKR7A3
RWDD1	DRG1
ZBED1	GPSM1
OPTN	WASHC3
ZBED1	NIP7
ADAM15	TRIP13
GSE1	RCOR3
RABAC1	DUSP12
CCDC85B	EXOC7
CCDC85B	VPS72
VPS33B	VIPAS39
RNF126	UBE2D4
DRAP1	PIK3R3
DYNLT3	TESC
SFN	TBL3
PTS	PTS
SF3B2	SF3B4
HNRNPC	ZNF581
GABARAPL2	UBA5
HNRNPC	FXR2
CDC23	TSC22D4
RAP1GDS1	ZNF451
NUP62	WASHC3
HNRNPC	PHKB
FXR2	TSC22D4
PUF60	PUF60
MRFAP1L1	TSNAX
AP2B1	NECAP2
CCDC85B	MCRS1
DDAH2	TRIP13
TRIM37	COPB1
LMO2	DAZAP2
ARL6IP1	INPP5K
